Scenario,Execution key,Cost bps per leg,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions,Episode Episodes,Episode Closed episodes,Episode Median excess %,Episode Mean excess %,Episode Beat VOO %,Episode Worst excess %,Episode Compounded relative wealth %
Next session open,next_open,0.0,2509.4157731840996,813.8052368025571,1695.6105363815425,22.70533740914351,0.6845073862225316,-75.45229496603187,784,33.209047974148646,18.0,4023,9,9,9.200643810576992,17.006569878151602,66.66666666666666,-27.51614875969276,185.5549156529833
Next session open,next_open,5.0,2462.8434085593267,813.8052368025571,1649.0381717567693,22.567278924116806,0.6819859719385589,-75.47684267106584,868,33.209047974148646,18.0,4023,9,9,9.089306192234293,16.881480017561277,66.66666666666666,-27.59645580393967,182.99517743840278
Next session open,next_open,10.0,2417.056860581143,813.8052368025571,1603.2516237785862,22.429237739202023,0.6794606934998011,-75.50139037609986,868,33.209047974148646,18.0,4023,9,9,8.977968573891527,16.75639015697083,66.66666666666666,-27.67676284818702,180.45585576070994
Next session open,next_open,25.0,2284.2881299121173,813.8052368025571,1470.4828931095599,22.0152181369091,0.6718621013962586,-75.57503349120162,870,33.209047974148646,18.0,4023,9,9,8.643955718863339,16.381120575199674,66.66666666666666,-27.9176839809282,172.95896792146053
Next session close,next_close,0.0,2709.0795823559965,813.8052368025571,1895.2743455534396,23.272185018154868,0.6949572741204292,-75.56183301098255,888,33.209047974148646,18.0,4023,9,9,8.121540606522837,18.77037547252526,66.66666666666666,-28.57417643612591,207.40462729072067
Next session close,next_close,5.0,2658.9436554125095,813.8052368025571,1845.1384186099524,23.133488760364564,0.6924386942577947,-75.58627117797151,889,33.209047974148646,18.0,4023,9,9,8.000392854372063,18.64308090391925,66.66666666666666,-28.652778471781193,204.64902642839235
Next session close,next_close,10.0,2609.6536731897154,813.8052368025571,1795.8484363871585,22.994809882605516,0.689916051067643,-75.6107093449606,889,33.209047974148646,18.0,4023,9,9,7.879245102221488,18.515786335313173,66.66666666666666,-28.731380507436675,201.915404308397
Next session close,next_close,25.0,2466.7259211885375,813.8052368025571,1652.9206843859804,22.578877681997046,0.6823241681617486,-75.68402384592768,891,33.209047974148646,18.0,4023,9,9,7.515801845769543,18.133902629495125,66.66666666666666,-28.96718661440293,193.84487956608862
Second following session open,second_open,0.0,2231.969382354573,813.8052368025571,1418.164145552016,21.846105975165564,0.6688075862289427,-76.24306956202417,895,33.209047974148646,18.0,4023,9,9,8.97103869948892,15.399178208213705,66.66666666666666,-30.000592294453167,155.19326093098576
Second following session open,second_open,5.0,2190.3488290165765,813.8052368025571,1376.5435922140193,21.70901423040108,0.6662884148105721,-76.26682649246212,895,33.209047974148646,18.0,4023,9,9,8.848890228949834,15.27598462659435,66.66666666666666,-30.07696784473357,152.90568713588883
Second following session open,second_open,10.0,2149.430540292307,813.8052368025571,1335.6253034897497,21.57193966460631,0.6637654418631265,-76.2905834229001,895,33.209047974148646,18.0,4023,9,9,8.726741758410528,15.152791044974881,66.66666666666666,-30.153343395013433,150.63635908737217
Second following session open,second_open,25.0,2030.7784580768036,813.8052368025571,1216.9732212742465,21.160819191756964,0.6561741409631533,-76.36185421421395,909,33.209047974148646,18.0,4023,9,9,8.360296346793294,14.783210300116808,66.66666666666666,-30.382470045854138,143.9365785910113
