Experiment,SMA,Upper %,Lower %,Exit mode,Execution,TQQQ weight %,Signal source,Reset mode,Cooldown sessions,Cost bps per leg,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions,Episode Episodes,Episode Closed episodes,Episode Median excess %,Episode Mean excess %,Episode Beat VOO %,Episode Worst excess %,Episode Compounded relative wealth %,Largest daily contribution %,Top 5 daily contribution %
Baseline,200,1.0,-1.0,ath_trailing_close,next_open,100.0,spx_close,band,5,5.0,2462.8434085593267,813.8052368025571,1649.0381717567693,22.567278924116806,0.6819859719385589,-75.47684267106584,868,33.209047974148646,18.0,4023,9,9,9.089306192234293,16.881480017561277,66.66666666666666,-27.59645580393967,182.99517743840278,1.0958222910236866,4.4763908351415616
SMA 150,150,1.0,-1.0,ath_trailing_close,next_open,100.0,spx_close,band,5,5.0,3951.0180941581384,813.8052368025571,3137.212857355581,26.125907324121634,0.7360903771895105,-74.21607957661145,679,42.033308476261496,26.0,4023,13,13,9.089306192234181,16.504427589279636,76.92307692307693,-23.338894389842125,349.1166889128637,0.6830742462026407,2.790331352510003
SMA 250,250,1.0,-1.0,ath_trailing_close,next_open,100.0,spx_close,band,5,5.0,1929.457518389816,813.8052368025571,1115.652281587259,20.792391280186106,0.6850261242067126,-74.0388807789655,656,25.22992791449167,12.0,4023,6,6,13.757500453766834,20.395700616401673,50.0,-14.270930031117224,123.425836686796,1.8266384728447203,5.260639003229774
Entry buffer 0%,200,0.0,-1.0,ath_trailing_close,next_open,100.0,spx_close,band,5,5.0,2811.4540085745457,813.8052368025571,1997.6487717719883,23.548329723638627,0.6895212565979931,-74.81570206033238,699,34.153616703952274,18.0,4023,9,9,13.257534745772626,18.197732136367826,66.66666666666666,-22.34927416331949,221.48957716595768,1.253593807354252,4.529042988243551
Entry buffer 2%,200,2.0,-1.0,ath_trailing_close,next_open,100.0,spx_close,band,5,5.0,2341.7407174229766,813.8052368025571,1527.9354806204194,22.19696284631936,0.6752816429983464,-75.4768426710658,868,33.05990554312702,18.0,4023,9,9,9.089306192234247,16.307494252993262,66.66666666666666,-27.596455803939623,169.62273437304103,1.1524925395541075,4.707886565083136
Sell at ATH,200,1.0,-1.0,sell_at_ath,next_open,100.0,spx_close,band,5,5.0,1344.0328480703056,813.8052368025571,530.2276112677484,18.24977339238547,0.6072693724178433,-75.47684267106582,868,25.727069351230426,18.0,4023,9,9,9.841643511239395,6.868099537249478,77.77777777777779,-27.59645580393978,59.45349243801616,2.008015436732013,8.202663854750583
Immediate 10% trail,200,1.0,-1.0,immediate_trailing_close,next_open,100.0,spx_close,band,5,5.0,1818.5019582843033,813.8052368025571,1004.6967214817462,20.36860028962191,0.8618165127009245,-48.63167245954474,318,14.069102659706687,46.0,4023,23,23,-2.001635907015764,5.593926013365038,43.47826086956522,-19.732893326046142,114.83368361142334,0.6673501360597709,2.7837037294155964
Trend failure exit,200,1.0,-1.0,trend_failure,next_open,100.0,spx_close,band,5,5.0,5294.858424662488,813.8052368025571,4481.05318785993,28.40490862315064,0.806684278400471,-59.35763678735515,586,60.10439970171514,49.0,4023,25,24,-2.001635907015753,14.810809672141787,44.0,-12.94449748998433,505.3258268344518,0.25528555987936274,1.0479627761605919
10% trail peak starts at ATH,200,1.0,-1.0,ath_trailing_after_activation,next_open,100.0,spx_close,band,5,5.0,2008.0375188773435,813.8052368025571,1194.2322820747863,21.07957938239884,0.6542038551165003,-75.47684267106582,894,33.75590355456127,18.0,4023,9,9,9.089306192234293,15.120500016924723,66.66666666666666,-32.081249550015265,132.7744448642917,1.3440180679038989,5.490260793845849
8% ATH trail,200,1.0,-1.0,ath_trailing_close,next_open,100.0,spx_close,band,5,5.0,2184.674670467072,813.8052368025571,1370.8694336645146,21.690143801580586,0.669210858167548,-75.4768426710658,868,30.7979120059657,18.0,4023,9,9,14.82692126434053,14.286789794585344,77.77777777777779,-27.59645580393959,152.2791332465006,1.2353503900986178,5.04635761630667
