signal_date,fill_date,old_asset,new_asset,fill_type,fill_price,old_fill_price,new_fill_price,reason,equity_before_cost,equity_after_cost,cost_rate,turnover_weight
2011-06-23,2011-06-24,VOO,TQQQ,open,0.367646564349958,90.08611641174177,0.367646564349958,Buy level reached,116688.99364131475,116572.30464767343,0.001,1.0
2012-04-16,2012-04-17,TQQQ,VOO,open,98.43831694950192,0.5441919786257186,98.43831694950192,TQQQ close trailing stop after ATH,172550.81175950263,172378.2609477431,0.001,1.0
2012-11-19,2012-11-20,VOO,TQQQ,open,0.47596978301017057,100.26680960874555,0.47596978301017057,Buy level reached,175580.18875922554,175404.6085704663,0.001,1.0
2013-04-18,2013-04-19,TQQQ,VOO,open,112.82732788236355,0.5583515265721678,112.82732788236355,TQQQ close trailing stop after ATH,205763.96750173683,205558.2035342351,0.001,1.0
2014-10-21,2014-10-22,VOO,TQQQ,open,1.6124478083571723,146.47102977988362,1.6124478083571723,Buy level reached,266853.09593393875,266586.24283800484,0.001,1.0
2014-12-15,2014-12-16,TQQQ,VOO,open,149.60107838327073,1.7952609868445177,149.60107838327073,TQQQ close trailing stop after ATH,296810.77360521717,296513.962831612,0.001,1.0
2015-10-23,2015-10-26,VOO,TQQQ,open,2.332446411501142,158.55107284157538,2.332446411501142,Buy level reached,314253.1285704705,313938.87544190005,0.001,1.0
2016-04-18,2016-04-19,TQQQ,VOO,open,162.24938051357677,2.1575082762188287,162.24938051357677,TQQQ close trailing stop after ATH,290392.83331564686,290102.4404823312,0.001,1.0
2018-11-07,2018-11-08,VOO,TQQQ,open,6.750683291613325,227.97469919699287,6.750683291613325,Buy level reached,407619.53232689813,407211.91279457125,0.001,1.0
2019-05-13,2019-05-14,TQQQ,VOO,open,231.84195189965527,6.622884708732877,231.84195189965527,TQQQ close trailing stop after ATH,399502.89977483236,399103.39687505754,0.001,1.0
2020-03-02,2020-03-03,VOO,TQQQ,open,10.52635535381604,258.3210014579249,10.52635535381604,Buy level reached,444685.6503806796,444240.9647302989,0.001,1.0
2020-09-03,2020-09-04,TQQQ,VOO,open,291.55488332756795,17.31721139288251,291.55488332756795,TQQQ close trailing stop after ATH,730833.6491626966,730102.8155135339,0.001,1.0
2022-01-31,2022-02-01,VOO,TQQQ,open,29.74109900573505,388.6818795810377,29.74109900573505,Buy level reached,973325.266867091,972351.9416002239,0.001,1.0
2023-12-13,2023-12-14,TQQQ,VOO,open,419.089213203394,23.884197538132668,419.089213203394,TQQQ close trailing stop after ATH,780867.1039791858,780086.2368752066,0.001,1.0
2025-05-12,2025-05-13,VOO,TQQQ,open,33.027505360078145,528.4380964010879,33.027505360078145,Buy level reached,983626.5717556382,982642.9451838826,0.001,1.0
2025-10-10,2025-10-13,TQQQ,VOO,open,601.9971102071635,50.74927003510959,601.9971102071635,TQQQ close trailing stop after ATH,1509905.505412784,1508395.5999073712,0.001,1.0
2026-04-08,2026-04-09,VOO,TQQQ,open,47.90969106107206,618.5387964301815,47.90969106107206,Buy level reached,1549843.3183279184,1548293.4750095904,0.001,1.0
2026-06-05,2026-06-08,TQQQ,VOO,open,681.485394050322,76.68344388379349,681.485394050322,TQQQ close trailing stop after ATH,2478172.4360358384,2475694.2635998027,0.001,1.0
