Period,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions
2010,13.458869876304668,13.458869876304602,6.661338147750939e-14,56.13799791126313,3.3314997699039224,-3.7446384767457985,17,0.0,0.0,80
2011,-5.930815152650382,1.897401695736467,-7.828216848386848,-6.882244437185115,0.2228377778362178,-43.91141392057012,-1,52.38095238095239,1.0,252
2012,76.99438525609641,15.992828293620942,61.00155696247547,67.99855020329117,2.3289970949135435,-17.223515876478913,190,40.0,2.0,250
2013,32.184163781230815,32.38645981480377,-0.20229603357295733,21.046596651532234,1.2835248284032417,-12.113190730669189,182,29.365079365079367,1.0,252
2014,22.854579533648334,12.927947736809209,9.926631796839125,24.133763309743795,1.310449048502317,-14.34720693852517,-1,15.079365079365079,2.0,252
2015,-0.7061963762482915,1.3250819642393052,-2.0312783404875967,-0.7105580382108845,0.09657213150114877,-13.052137670894004,-1,18.650793650793652,1.0,252
2016,3.256406609285234,12.166787298169357,-8.910380688884123,10.099716105836865,0.2713477553612211,-34.116566905685396,69,28.968253968253972,1.0,252
2017,21.77353864068219,21.773538640682432,-2.4424906541753444e-13,21.26692025068282,3.0047618744912095,-2.583302606503468,19,0.0,0.0,251
2018,-30.561913454365055,-4.500697013278487,-26.061216441086565,-31.22654575480923,-0.7366887920258849,-48.73970832344797,-1,13.94422310756972,1.0,251
2019,73.94317394158676,31.365060047479588,42.578113894107176,72.06366617661308,1.8972117530384738,-20.031830554276453,-1,36.11111111111111,1.0,252
2020,72.12526434026655,18.32440155210959,53.80086278815697,70.92735601920151,1.0692975902616402,-63.28862995478231,82,51.38339920948617,2.0,253
2021,28.794421194623567,28.794421194623432,1.3322676295501878e-13,30.975326826691575,2.021270362791688,-5.093750682910104,16,0.0,0.0,252
2022,-73.58570460666844,-18.174019577707355,-55.41168502896109,-74.15698046232373,-0.9750078064760768,-75.47684267106582,-1,92.03187250996015,1.0,251
2023,190.87739254696206,26.323849503691086,164.55354304327096,202.35642638908593,2.3019988405459912,-33.14182095559587,47,95.6,1.0,250
2024,24.976036887621156,24.97603688762129,-1.3322676295501878e-13,25.87853267574982,1.8349061621978635,-8.446366524077487,45,0.0,0.0,252
