Fold,Train start,Train end,Test start,Test end,Selected SMA,Selected upper %,Selected lower %,Selected exit,Train excess %,Test excess %,Test return %,Test VOO return %,Test annualized %,Test Sharpe,Test max drawdown %,Test TQQQ time %,Test turnover,Test sessions
1,2010-09-09,2015-09-08,2015-09-09,2016-09-08,150,0.0,-1.0,ath_trailing_close,134.21749888217428,-11.03600262042701,2.1592117680708123,13.195214388497822,3.557593620533206,0.26080912865067973,-43.45390955006937,47.82608695652174,2.0,253
2,2010-09-09,2016-09-08,2016-09-09,2017-09-08,150,0.0,-1.0,ath_trailing_close,115.64975326154196,53.74984306864934,68.91999002588818,15.170146957238838,73.42456414007941,2.340218615259804,-10.357508017544836,60.317460317460316,2.0,252
3,2010-09-09,2017-09-08,2017-09-11,2018-09-08,150,0.0,-1.0,ath_trailing_close,313.69792109949356,8.912283342593575,27.854849767843337,18.942566425249762,26.825224959408068,0.9170280790521345,-23.59227729732032,34.66135458167331,2.0,251
4,2010-09-09,2018-09-07,2018-09-10,2019-09-08,150,0.0,-1.0,ath_trailing_close,423.6771485302986,-6.806408200895719,-1.0199999198311605,5.786408281064559,-1.2211329819137196,0.25937257317996765,-50.1834570365437,57.599999999999994,2.0,250
5,2010-09-09,2019-09-06,2019-09-09,2020-09-08,150,0.0,-1.0,ath_trailing_close,398.8270918353402,51.854539810372735,65.89838730370867,14.043847493335937,65.91338876366366,1.0296538219532014,-63.288629954782394,51.38339920948617,2.0,253
6,2010-09-09,2020-09-08,2020-09-09,2021-09-08,150,2.0,-1.0,ath_trailing_close,838.3151476689186,1.3322676295501878e-13,37.5046578361699,37.50465783616976,34.98298949365739,2.349211111247336,-7.382920031274686,0.0,0.0,252
7,2010-09-09,2021-09-08,2021-09-09,2022-09-08,150,2.0,-1.0,ath_trailing_close,1152.7223753909261,-43.183454853979356,-53.12662470896539,-9.943169854986033,-53.03702899016045,-0.8018678656900752,-65.76841563026338,44.44444444444444,1.0,252
8,2010-09-09,2022-09-08,2022-09-09,2023-09-08,150,2.0,-1.0,ath_trailing_close,324.25867061253155,33.23437716633144,46.39000547894527,13.155628312613832,37.80880898420631,0.891317208784642,-47.481823766491104,100.0,0.0,251
9,2010-09-09,2023-09-08,2023-09-11,2024-09-08,150,2.0,-1.0,ath_trailing_close,624.4311815127742,17.85439298709528,40.9610732752683,23.10668028817302,36.814296087128895,1.3878040311465767,-26.089006338352416,26.8,1.0,250
10,2010-09-09,2024-09-06,2024-09-09,2025-09-08,150,2.0,-1.0,ath_trailing_close,971.2375766193935,23.321545165961545,44.98200305061941,21.66045788465787,43.545769931981425,1.5090888097374242,-18.689404677475054,31.2,1.0,250
11,2010-09-09,2025-09-08,2025-09-09,2026-09-08,150,0.0,-1.0,ath_trailing_close,1566.7801880038842,66.5227838809763,86.18866160987473,19.66587772889843,85.07101779815775,2.212277203794588,-16.246275263047274,25.89641434262948,3.0,251
