Fold,Policy key,Train end,Test start,Test end,Test excess %,Test CAGR %,Test max drawdown %,Test Sharpe,Test turnover
1,exit_current,2015-09-08,2015-09-09,2016-09-08,-11.081052687540161,3.511895624712369,-43.453909550069405,0.25975276671799646,4.0
1,exit_trend_failure,2015-09-08,2015-09-09,2016-09-08,-26.273255422215193,-11.897978046099455,-30.465806191558887,-0.27297646044972745,20.0
1,exit_immediate_trail,2015-09-08,2015-09-09,2016-09-08,-22.75073914547473,-8.325145298176928,-31.377945273425123,-0.23377741020766757,16.0
2,exit_current,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.9526343314802315,1.746288815297578,0.0
2,exit_trend_failure,2016-09-08,2016-09-09,2017-09-08,-1.1102230246251565e-13,18.08595852040287,-3.9526343314802204,1.7462888152975977,0.0
2,exit_immediate_trail,2016-09-08,2016-09-09,2017-09-08,-2.4424906541753444e-13,18.085958520402734,-3.952634331480298,1.746288815297572,0.0
3,exit_current,2017-09-08,2017-09-11,2018-09-08,-3.774758283725532e-13,17.884392332728382,-10.088848332728684,1.4610628055282386,0.0
3,exit_trend_failure,2017-09-08,2017-09-11,2018-09-08,-2.220446049250313e-13,17.88439233272858,-10.088848332728716,1.4610628055282462,0.0
3,exit_immediate_trail,2017-09-08,2017-09-11,2018-09-08,-2.4424906541753444e-13,17.884392332728538,-10.088848332728695,1.4610628055282453,0.0
4,exit_current,2018-09-07,2018-09-10,2019-09-08,-3.9378380585884054,1.6758001629143537,-48.73970832344807,0.2824330085506515,4.0
4,exit_trend_failure,2018-09-07,2018-09-10,2019-09-08,-21.576206068339165,-16.12065125710227,-36.58880791887192,-0.3882741641244449,12.0
4,exit_immediate_trail,2018-09-07,2018-09-10,2019-09-08,-14.008615190601482,-8.490130579189437,-36.5888079188719,-0.14342583323928848,12.0
5,exit_current,2019-09-06,2019-09-09,2020-09-08,51.854539810372756,65.91338876366375,-63.28862995478233,1.0296538219532017,4.0
5,exit_trend_failure,2019-09-06,2019-09-09,2020-09-08,38.96162913751597,53.01083334530101,-37.0367823952813,1.0775008769161063,6.0
5,exit_immediate_trail,2019-09-06,2019-09-09,2020-09-08,-15.715526981892292,-1.6980123264399793,-48.63167245954476,0.2011933865937299,8.0
6,exit_current,2020-09-08,2020-09-09,2021-09-08,8.881784197001252e-14,34.9829894936573,-7.382920031274698,2.3492111112473415,0.0
6,exit_trend_failure,2020-09-08,2020-09-09,2021-09-08,110.00398774221702,128.570356505943,-30.433194663769058,1.8237357383924353,0.0
6,exit_immediate_trail,2020-09-08,2020-09-09,2021-09-08,-1.3322676295501878e-13,34.98298949365714,-7.382920031274621,2.34921111124733,0.0
7,exit_current,2021-09-08,2021-09-09,2022-09-08,-44.86746481650593,-54.729946186889265,-66.99824661115137,-0.6523891225741514,2.0
7,exit_trend_failure,2021-09-08,2021-09-09,2022-09-08,-36.556391374869236,-46.03512158082197,-58.540916085715544,-1.0715551995346184,10.0
7,exit_immediate_trail,2021-09-08,2021-09-09,2022-09-08,-9.318662119870558,-18.956312942809017,-30.971133612704115,-0.597869660247567,8.0
8,exit_current,2022-09-08,2022-09-09,2023-09-08,33.23437716633224,37.80880898420711,-47.48182376649108,0.8913172087846483,0.0
8,exit_trend_failure,2022-09-08,2022-09-09,2023-09-08,38.03797011791406,49.09956227233281,-23.288408365046077,1.14056271239269,14.0
8,exit_immediate_trail,2022-09-08,2022-09-09,2023-09-08,7.79598830624566,19.185056546722024,-17.247907282978403,0.7443903252570708,12.0
9,exit_current,2023-09-08,2023-09-11,2024-09-08,17.854392987095324,36.81429608712894,-26.089006338352405,1.387804031146575,2.0
9,exit_trend_failure,2023-09-08,2023-09-11,2024-09-08,7.73725679140016,26.883481376951977,-37.37195671809387,0.7825937573880872,4.0
9,exit_immediate_trail,2023-09-08,2023-09-11,2024-09-08,19.137944548740826,41.89263198507371,-11.117577549330127,1.8574294264487115,4.0
10,exit_current,2024-09-06,2024-09-09,2025-09-08,30.945283279076197,51.12057840318911,-18.689404677475054,1.683978373614882,2.0
10,exit_trend_failure,2024-09-06,2024-09-09,2025-09-08,31.80914275865483,48.164576277459204,-43.12938366636071,1.1477356415026343,4.0
10,exit_immediate_trail,2024-09-06,2024-09-09,2025-09-08,30.945283279076175,51.120578403189064,-18.689404677475075,1.6839783736148792,2.0
11,exit_current,2025-09-08,2025-09-09,2026-09-08,66.52278388097548,85.07101779815689,-16.246275263047295,2.2122772037945784,6.0
11,exit_trend_failure,2025-09-08,2025-09-09,2026-09-08,31.23739355530468,49.88924208073868,-33.63567555179413,1.0195985942475243,4.0
11,exit_immediate_trail,2025-09-08,2025-09-09,2026-09-08,66.5227838809764,85.07101779815787,-16.246275263047316,2.212277203794593,6.0
