Policy,Key,Mode,Return %,VOO return %,Excess vs VOO %,CAGR %,Volatility %,Sharpe,Sortino,Max drawdown %,Calmar,Recovery days,Risk-on time %,Average TQQQ weight %,Turnover,Sessions
Current strategy: 100% TQQQ risk-on,current_tqqq,current,2462.843408559319,813.8052368025573,1649.0381717567616,22.567278924116764,44.71377740382427,0.6819859719385589,0.751642115030524,-75.4768426710658,0.298996064560713,868.0,33.209047974148646,33.209047974148646,36.0,4023
TQQQ volatility target 60%,tqqq_target_60,tqqq_target,3528.5093957451736,813.8052368025544,2714.704158942619,25.260472651967824,36.07539690783621,0.8060982005217283,0.9159636676624496,-62.65418295460701,0.4031729640504458,201.0,33.209047974148646,28.29494662966421,64.81126322744518,4023
TQQQ volatility target 50%,tqqq_target_50,tqqq_target,3493.9100961467334,813.8052368025544,2680.1048593441787,25.185473517420686,33.71519827619571,0.8359493435766945,0.9574231627280115,-56.984760818441224,0.44196857468023704,169.0,33.209047974148646,26.03922159951714,70.95180555301374,4023
TQQQ volatility target 40%,tqqq_target_40,tqqq_target,3208.4729188662004,813.8052368025544,2394.6676820636458,24.53955954527498,30.79211161915699,0.8673578193489802,1.004523381150074,-50.73366126884083,0.4836938421463085,169.0,33.209047974148646,22.61065296075691,74.35093915749803,4023
TQQQ volatility target 30%,tqqq_target_30,tqqq_target,2631.858749143262,813.8052368025544,1818.0535123407071,23.05757479920294,27.575573597304615,0.8905431261571491,1.0412694839409422,-44.45017675077848,0.518728528988338,244.0,33.209047974148646,18.02061145792272,68.34453923809599,4023
TQQQ half-size when prior volatility exceeds 60%,tqqq_high_vol_half,tqqq_filter,3327.795111099131,813.8052368025544,2513.9898742965765,24.815693603553136,33.674858146049196,0.827989114486154,0.9430770983746949,-52.96604447664337,0.46852080136919044,272.0,33.209047974148646,25.217499378573205,60.0,4023
50% TQQQ / 50% VOO risk-on,tqqq_half,fixed_tqqq,1762.3105013966967,813.8052368025544,948.5052645941423,20.145134404542574,29.9186771755514,0.7635441187084598,0.8678175597778559,-52.96604447664337,0.3803405484324216,476.0,33.209047974148646,16.604523987074323,18.0,4023
"QLD instead of TQQQ, same signal and timing",qld_same_signal,qld,2016.0684036526543,813.8052368025544,1202.2631668500999,21.108362376639313,31.369397802327505,0.7679086269983225,0.8779486712990758,-57.3589121491819,0.36800492871516877,406.0,33.209047974148646,0.0,36.0,4023
50% TQQQ / 50% QLD risk-on,tqqq_qld_mix,mix_tqqq_qld,2322.472747241927,813.8052368025544,1508.6675104393728,22.136461808691486,37.98458327203452,0.7181910874808948,0.8031525151591379,-67.28983271048783,0.3289718656893211,537.0,33.209047974148646,16.604523987074323,36.0,4023
"TQQQ in calm conditions, QLD in high volatility",leverage_ladder,ladder,3351.5529568647407,813.8052368025544,2537.7477200621865,24.869596088825908,34.65863874904685,0.8153971682740159,0.9319904842182111,-57.358912149181954,0.4335785871277302,202.0,33.209047974148646,17.225950782997764,98.0,4023
