Policy,Status,Entry fill date,Exit fill date,Strategy return %,VOO hold return %,Excess vs VOO %,Relative wealth %,TQQQ weight average %,QLD weight average %,Prior volatility max %
Current strategy: 100% TQQQ risk-on,Closed,2011-06-24,2012-04-17,49.050635171476856,9.271351536108119,39.779283635368735,36.40412887381912,99.51219512195122,0.0,146.9117140494366
Current strategy: 100% TQQQ risk-on,Closed,2012-11-20,2013-04-19,17.722241044497245,12.5270947810455,5.195146263451744,4.616795869084167,99.02912621359224,0.0,56.483964305748025
Current strategy: 100% TQQQ risk-on,Closed,2014-10-22,2014-12-16,10.991489473274484,2.136974532158975,8.85451494111551,8.66925516608832,97.43589743589743,0.0,67.9661298049386
Current strategy: 100% TQQQ risk-on,Closed,2015-10-26,2016-04-19,-7.661735792362756,2.332565529655395,-9.994301322018151,-9.766491507653896,99.17355371900827,0.0,90.07338164987753
Current strategy: 100% TQQQ risk-on,Closed,2018-11-08,2019-05-14,-1.8606919851490766,1.6963517075729184,-3.557043692721995,-3.4977102255843384,99.21259842519686,0.0,116.72455307385643
Current strategy: 100% TQQQ risk-on,Closed,2020-03-03,2020-09-04,62.92919540928437,12.865342609418517,50.06385279986585,44.357153083844935,99.23664122137404,0.0,266.3566009828316
Current strategy: 100% TQQQ risk-on,Closed,2022-02-01,2023-12-14,-19.814444796026798,7.823193006870444,-27.637637802897242,-25.63236816881892,99.78768577494692,0.0,136.43147796854166
Current strategy: 100% TQQQ risk-on,Closed,2025-05-13,2025-10-13,54.03374608976912,13.92008152081521,40.11366456895391,35.21211013321162,99.05660377358491,0.0,80.06499289177737
Current strategy: 100% TQQQ risk-on,Closed,2026-04-09,2026-06-08,58.596916272923515,10.17666118656242,48.420255086361095,43.94783302097978,97.61904761904762,0.0,73.13830978920404
TQQQ volatility target 60%,Closed,2011-06-24,2012-04-17,43.726988591185375,9.271351536108119,34.45563705507726,31.532177986918718,83.40558720717488,0.0,146.9117140494366
TQQQ volatility target 60%,Closed,2012-11-20,2013-04-19,17.851863984541527,12.5270947810455,5.324769203496027,4.731988516949559,99.02912621359224,0.0,56.483964305748025
TQQQ volatility target 60%,Closed,2014-10-22,2014-12-16,10.011564839765196,2.136974532158975,7.874590307606222,7.709833136996647,95.16497027128682,0.0,67.9661298049386
TQQQ volatility target 60%,Closed,2015-10-26,2016-04-19,-5.538684116905301,2.332565529655395,-7.871249646560696,-7.691832610489624,91.59353154014643,0.0,90.07338164987753
TQQQ volatility target 60%,Closed,2018-11-08,2019-05-14,4.1976650557258965,1.6963517075729184,2.501313348152978,2.4595900503348256,82.61469127269201,0.0,116.72455307385643
TQQQ volatility target 60%,Closed,2020-03-03,2020-09-04,56.690270316822364,12.865342609418517,43.82492770740385,38.82939323461257,69.11712060325918,0.0,266.3566009828316
TQQQ volatility target 60%,Closed,2022-02-01,2023-12-14,18.067878743956545,7.823193006870444,10.244685737086101,9.501374844680498,80.38936652399954,0.0,136.43147796854166
TQQQ volatility target 60%,Closed,2025-05-13,2025-10-13,52.26338160129955,13.92008152081521,38.34330008048434,33.65806938391134,98.11196380884442,0.0,80.06499289177737
TQQQ volatility target 60%,Closed,2026-04-09,2026-06-08,54.289226592986985,10.17666118656242,44.112565406424565,40.038030678501535,93.535842131672,0.0,73.13830978920404
TQQQ volatility target 50%,Closed,2011-06-24,2012-04-17,44.66857182624262,9.271351536108119,35.3972202901345,32.39387066466153,75.71116858290219,0.0,146.9117140494366
TQQQ volatility target 50%,Closed,2012-11-20,2013-04-19,17.645402577525935,12.5270947810455,5.118307796480437,4.5485114553429185,97.84597078346417,0.0,56.483964305748025
TQQQ volatility target 50%,Closed,2014-10-22,2014-12-16,8.543261441127225,2.136974532158975,6.406286908968251,6.272250512914068,90.130500687502,0.0,67.9661298049386
TQQQ volatility target 50%,Closed,2015-10-26,2016-04-19,-3.190138913404128,2.332565529655395,-5.5227044430595225,-5.396820078217502,84.38358490515868,0.0,90.07338164987753
TQQQ volatility target 50%,Closed,2018-11-08,2019-05-14,5.605456914872042,1.6963517075729184,3.909105207299124,3.843899158290087,77.30602997574205,0.0,116.72455307385643
TQQQ volatility target 50%,Closed,2020-03-03,2020-09-04,51.22316416358033,12.865342609418517,38.35782155416181,33.98547389955018,60.24266108437486,0.0,266.3566009828316
TQQQ volatility target 50%,Closed,2022-02-01,2023-12-14,22.181510996975582,7.823193006870444,14.35831799010514,13.316539410208561,71.93150878322169,0.0,136.43147796854166
TQQQ volatility target 50%,Closed,2025-05-13,2025-10-13,50.93410738923938,13.92008152081521,37.01402586842417,32.491221367025666,95.57576703833311,0.0,80.06499289177737
TQQQ volatility target 50%,Closed,2026-04-09,2026-06-08,49.89934708454111,10.17666118656242,39.72268589797869,36.053630115652325,88.35557839037759,0.0,73.13830978920404
TQQQ volatility target 40%,Closed,2011-06-24,2012-04-17,44.53121366884017,9.271351536108119,35.259862132732046,32.268166941342,66.41248673637445,0.0,146.9117140494366
TQQQ volatility target 40%,Closed,2012-11-20,2013-04-19,17.534188230774326,12.5270947810455,5.007093449728828,4.449678061511841,91.5950115280113,0.0,56.483964305748025
TQQQ volatility target 40%,Closed,2014-10-22,2014-12-16,6.924084978942702,2.136974532158975,4.787110446783727,4.686951487168289,84.24772578822564,0.0,67.9661298049386
TQQQ volatility target 40%,Closed,2015-10-26,2016-04-19,-1.7032714415734729,2.332565529655395,-4.035836971228868,-3.943844220400494,72.56544469812906,0.0,90.07338164987753
TQQQ volatility target 40%,Closed,2018-11-08,2019-05-14,6.076902531330131,1.6963517075729184,4.380550823757212,4.307480799658814,69.7091421314097,0.0,116.72455307385643
TQQQ volatility target 40%,Closed,2020-03-03,2020-09-04,44.82235066968443,12.865342609418517,31.957008060265913,28.31427905274362,49.16357100697446,0.0,266.3566009828316
TQQQ volatility target 40%,Closed,2022-02-01,2023-12-14,25.3167257448117,7.823193006870444,17.49353273794125,16.22427628982066,58.97015199986574,0.0,136.43147796854166
TQQQ volatility target 40%,Closed,2025-05-13,2025-10-13,48.75725659291139,13.92008152081521,34.83717507209618,30.580363538215003,91.36895234286824,0.0,80.06499289177737
TQQQ volatility target 40%,Closed,2026-04-09,2026-06-08,42.14945790450242,10.17666118656242,31.97279671794,29.019573087080918,73.67122346869539,0.0,73.13830978920404
TQQQ volatility target 30%,Closed,2011-06-24,2012-04-17,44.03694860635685,9.271351536108119,34.76559707024873,31.815838810011087,55.079961745606354,0.0,146.9117140494366
TQQQ volatility target 30%,Closed,2012-11-20,2013-04-19,17.066377315116952,12.5270947810455,4.539282534071454,4.033946262368149,75.22009503565266,0.0,56.483964305748025
TQQQ volatility target 30%,Closed,2014-10-22,2014-12-16,4.847579832097515,2.136974532158975,2.71060529993854,2.6538922974314927,74.81176294230913,0.0,67.9661298049386
TQQQ volatility target 30%,Closed,2015-10-26,2016-04-19,0.1734889222394509,2.332565529655395,-2.159076607415944,-2.1098626778689122,55.313675651804175,0.0,90.07338164987753
TQQQ volatility target 30%,Closed,2018-11-08,2019-05-14,5.262864280759927,1.6963517075729184,3.5665125731870084,3.507021159856838,57.99018009492034,0.0,116.72455307385643
TQQQ volatility target 30%,Closed,2020-03-03,2020-09-04,37.282147774755245,12.865342609418517,24.41680516533673,21.633572007869105,38.37702142431462,0.0,266.3566009828316
