Fold,Policy key,Train end,Test start,Test end,Test excess %,Test CAGR %,Test max drawdown %,Test Sharpe,Test turnover
1,current_tqqq,2015-09-08,2015-09-09,2016-09-08,-11.081052687540161,3.511895624712369,-43.453909550069405,0.25975276671799646,4.0
1,tqqq_target_60,2015-09-08,2015-09-09,2016-09-08,-8.79362690186487,5.832237433018683,-39.83765931963894,0.3050612392249147,6.469858283789888
1,tqqq_target_50,2015-09-08,2015-09-09,2016-09-08,-6.197941618027847,8.465316727566673,-36.54957020209396,0.36797840072649024,7.895996144666265
1,tqqq_target_40,2015-09-08,2015-09-09,2016-09-08,-4.554609392659659,10.132345843487256,-33.057013433954666,0.41833446227875015,8.863678388362604
1,tqqq_target_30,2015-09-08,2015-09-09,2016-09-08,-2.4803554032643893,12.23653525296764,-28.275435984005593,0.5063700986149952,7.764007058261225
1,tqqq_high_vol_half,2015-09-08,2015-09-09,2016-09-08,-5.20444102905957,9.473141539992591,-34.28461948363687,0.395909716912395,10.0
1,tqqq_half,2015-09-08,2015-09-09,2016-09-08,-4.3357804622795815,10.35433160115522,-28.769272418550308,0.44641851734382626,2.0
1,qld_same_signal,2015-09-08,2015-09-09,2016-09-08,-6.899171380307179,7.753980537648886,-30.736376272949872,0.3559880119268277,4.0
1,tqqq_qld_mix,2015-09-08,2015-09-09,2016-09-08,-8.7500291609941,5.876462885337519,-37.30369393134956,0.2997397297247564,4.0
1,leverage_ladder,2015-09-08,2015-09-09,2016-09-08,-7.5702464376482315,7.073236664883242,-36.16326229908786,0.33158902718634176,18.0
2,current_tqqq,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.9526343314802315,1.746288815297578,0.0
2,tqqq_target_60,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,tqqq_target_50,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,tqqq_target_40,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,tqqq_target_30,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,tqqq_high_vol_half,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,tqqq_half,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,qld_same_signal,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,tqqq_qld_mix,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,leverage_ladder,2016-09-08,2016-09-09,2017-09-08,-6.661338147750939e-14,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
3,current_tqqq,2017-09-08,2017-09-11,2018-09-08,-3.774758283725532e-13,17.884392332728382,-10.088848332728684,1.4610628055282386,0.0
3,tqqq_target_60,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,tqqq_target_50,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,tqqq_target_40,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,tqqq_target_30,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,tqqq_high_vol_half,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,tqqq_half,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,qld_same_signal,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,tqqq_qld_mix,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,leverage_ladder,2017-09-08,2017-09-11,2018-09-08,0.0,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
4,current_tqqq,2018-09-07,2018-09-10,2019-09-08,-3.9378380585884054,1.6758001629143537,-48.73970832344807,0.2824330085506515,4.0
4,tqqq_target_60,2018-09-07,2018-09-10,2019-09-08,2.0688619727990076,7.744973323612769,-39.46730336739971,0.3903710827807483,6.103895728934498
4,tqqq_target_50,2018-09-07,2018-09-10,2019-09-08,3.526070935669545,9.217946670858712,-36.39627377571068,0.42809819940286803,5.944541799210764
4,tqqq_target_40,2018-09-07,2018-09-10,2019-09-08,4.014065502015018,9.711272287926764,-33.221398750775535,0.4477892705080261,6.088616527267817
4,tqqq_target_30,2018-09-07,2018-09-10,2019-09-08,3.171452421719212,8.859470419754212,-29.94219950323016,0.4358908180737439,6.942429495082858
4,tqqq_high_vol_half,2018-09-07,2018-09-10,2019-09-08,4.643045663450884,10.347161744591183,-35.23524469894507,0.45833807016315287,4.0
4,tqqq_half,2018-09-07,2018-09-10,2019-09-08,-0.3009446174478514,5.35003139662571,-35.23524469894507,0.3275509315514211,2.0
4,qld_same_signal,2018-09-07,2018-09-10,2019-09-08,-0.19245687376669984,5.459656087337295,-36.081429368937755,0.33074962857392803,4.0
4,tqqq_qld_mix,2018-09-07,2018-09-10,2019-09-08,-1.7605101285957492,3.8752993012130865,-42.66888924371054,0.3030654042380453,4.0
4,leverage_ladder,2018-09-07,2018-09-10,2019-09-08,3.927682394499543,9.623943612797481,-36.081429368937755,0.43644068368366745,6.0
5,current_tqqq,2019-09-06,2019-09-09,2020-09-08,51.854539810372756,65.91338876366375,-63.28862995478233,1.0296538219532017,4.0
